,usuario,texto;;;;;;;;;;;;;;;;;;;;;;
"1381,@UOLNoticias,""@UOLNoticias Toma vergonha na sua cara presidente de merda..o Trump proÌbe brasileiro de entrar no paÌs,e vocÍ fica babando ovo deste safado...e cloroquina n„o cura coronavÌrus,para de ser idiota cara""";;;;;;;;;;;;;;;;;;;;;;
"1390,@UOLNoticias,""@UOLNoticias """"coronavÌrus È o Karalho""""";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Dancinha ridÌcula!;;;;;;;;;;;;;;;;;;;;;;
"üëâüèºüáßüá∑üêÑ https://t.co/HnDP28B4Jx""";;;;;;;;;;;;;;;;;;;;;;
1397,@UOLNoticias,@UOLNoticias @corona_news_br Que pena;;;;;;;;;;;;;;;;;;;;;;
1404,@UOLNoticias,@UOLNoticias A gente vai morrer de corona ou de arritmia;;;;;;;;;;;;;;;;;;;;;;
1405,@UOLNoticias,@UOLNoticias È o brasil vai gastar quanto por este remÈdio que n„o cura o corona? pare de ser subserviente deste maluco.. caralho;;;;;;;;;;;;;;;;;;;;;;
1449,@UOLNoticias,@UOLNoticias Hahahahaha....tudo agora È culpa da esquerda....atÈ a corona;;;;;;;;;;;;;;;;;;;;;;
1456,@UOLNoticias,@UOLNoticias O Brasil vive um pÈssimo momento com esse presidente ...Unindo os dois. .O capit„o cloroquina mais coronavÌrus. .Uma cat·trofe. ..e ainda tem sem cÈrebros que acreditam nesse lixo;;;;;;;;;;;;;;;;;;;;;;
1462,@UOLNoticias,@viejodelahabana @UOLNoticias @UOL seria o novo novo coronavÌrus?;;;;;;;;;;;;;;;;;;;;;;
1473,@UOLNoticias,@reinaldoazevedo @UOLNoticias @UOL @SOCIO_CORONA carteirinha;;;;;;;;;;;;;;;;;;;;;;
"1485,@UOLNoticias,""@CNNBrasil Grande diferen· dos Argentinos o Presidente dela Plata muy Ama Su PaÌs , j·no Brasil tupiniquim o Presidente @jairbolsonaro  ODEiA nÛs Brasileiros e Sua P√ÅTRIA , taÌ≠ o Grande CORONAVÕRUS se alastrou @jairbolsonaro Bandido de Milicianos @UOLNoticias  @g1""";;;;;;;;;;;;;;;;;;;;;;
"1492,@UOLNoticias,""@UOLNoticias Exato, um È ladrao condenado, o outro È ladrao ainda n condenado, louco, nazifacisla, miliciano, insuportavel, a favor da ditadura e td de pior q se pode ser! Nem corona diz q o pega, p a nossa alegria! ü§¶üèº‚Äç‚ôÄÔ∏è""";;;;;;;;;;;;;;;;;;;;;;
"1526,@UOLNoticias,""@UOLNoticias Sim e de todos os paÌs com numeros altos de coronavirus, n„o s„o com o brasil que liberou o Carnaval e trouxe muiiiiiiitos gringos com corona!""";;;;;;;;;;;;;;;;;;;;;;
"1543,@UOLNoticias,""@UOLNoticias Roberto Jefferson.";;;;;;;;;;;;;;;;;;;;;;
E car·er.;;;;;;;;;;;;;;;;;;;;;;
Na mesma frase.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
"Mira direito corona""";;;;;;;;;;;;;;;;;;;;;;
1549,@UOLNoticias,@UOLNoticias E esse Corona com carinhaaa?!??!! https://t.co/Vb0sasBx5A;;;;;;;;;;;;;;;;;;;;;;
"1568,@UOLNoticias,""Como a crise do corona afetou a Vila Mimosa, zona de prostituiÁ„o no RJ https://t.co/UimekfOBkt via @UOLNoticias @UOL""";;;;;;;;;;;;;;;;;;;;;;
"1578,@UOLNoticias,""@UOLNoticias Existe cuidado, por parte do Governo de Minas, a apuraÁ„o em separar as mortes causadas por doenÁas que apresentam sintomas an·ogos aos do Corona, exatamente pra evitar subnotificaÁıes e produzir um n˙mero bem mais realista.""";;;;;;;;;;;;;;;;;;;;;;
"1580,@UOLNoticias,""@UOLNoticias se n„o foi testado n„o È corona";;;;;;;;;;;;;;;;;;;;;;
"bela tatica""";;;;;;;;;;;;;;;;;;;;;;
"1692,@UOLNoticias,""@AdsumP @zehdeabreu @UOLNoticias @UOL Brasil tem a triste marca de 807 Ûbitos pelo coronavÌrus hoje e o MinistÈrio da Sa˙de alega 'tranquilidade' com cloroquina mesmo sob total descrÈdito de estudos. ";;;;;;;;;;;;;;;;;;;;;;
"sÛ de deixar irado.üò°""";;;;;;;;;;;;;;;;;;;;;;
"1724,@UOLNoticias,""@UOLNoticias A fala do Salles n„o demanda grandes confusıes, ele queria desmatar toda a AmazÙnia e exterminar os Ìndios durante a pandemia por coronavÌrus, esse governo È apaniguado com grileiros, latifundi·rios e grupos armados ligados a terra... sÛ isso!""";;;;;;;;;;;;;;;;;;;;;;
"1735,@UOLNoticias,""@mimimimartins @UOLNoticias @UOL Aquela que desvia do corona, tal qual o peixe com o Ûleo""";;;;;;;;;;;;;;;;;;;;;;
"1749,@UOLNoticias,""@UOLNoticias Kkkkkkk todo o PLANETA È esquerda, agora atÈ o Trump e o coronavÌrus s„o.""";;;;;;;;;;;;;;;;;;;;;;
1753,@UOLNoticias,@UOLNoticias VelÛrios e Furiosos em: ‚Äú A morte pede Corona‚Äù;;;;;;;;;;;;;;;;;;;;;;
"1764,@UOLNoticias,""@sil_alle @UOLNoticias Capit„o Corona falou, ent„o È! O peste n„o costuma mentir! ";;;;;;;;;;;;;;;;;;;;;;
"#ForaBolsonaroUrgente""";;;;;;;;;;;;;;;;;;;;;;
1771,@UOLNoticias,@UOLNoticias @biellforgerini me zuou qnd eu falei q transmitia corona por peido nÈ;;;;;;;;;;;;;;;;;;;;;;
1776,@UOLNoticias,@dfranco50 @henrike_silv @oiconoclasta3 @UOLNoticias A associaÁ„o francesa de l˙pus constatou que entre os portadores desta doen· apenas um se infectou por coronavÌrus . Bem eu n„o afirmo nada mas sao estudos e controvÈrsias.;;;;;;;;;;;;;;;;;;;;;;
1777,@UOLNoticias,@UOLNoticias A cabe· de Bolsonaro È a prÛpria fonte do corona ent„o?;;;;;;;;;;;;;;;;;;;;;;
"1778,@UOLNoticias,""@UOLNoticias sÛ desesperador ver o paÌs em segundo lugar em n˙mero de casos do corona, uma economia em queda livre e os governos estaduais e federal alimentando pautas paralelas para a mÌdia noticiar.";;;;;;;;;;;;;;;;;;;;;;
"E a imprensa dando enfoque no que n„o interessa ao povo. Isso tem um pano de fundo escuso.""";;;;;;;;;;;;;;;;;;;;;;
"1800,@UOLNoticias,""@ismdavid94 @UOLNoticias Quando a OMS decretou que o isolamento era a principal arma no combate ao corona, naquele exato dia virou comunista, na figura do seu diretor-geral, claro.""";;;;;;;;;;;;;;;;;;;;;;
"1813,@UOLNoticias,""@UOLNoticias sÛ porque a mÌdia mundial e os lÌderes todos EST√O se unindo para tirar ele do poder, por isso o CORONAVÕRUS e os alienÌgenas s„o todos esquerdistas, È um plano pra queimar a imagem dele (contÈm ironia)""";;;;;;;;;;;;;;;;;;;;;;
