;usuario;texto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24536;@jairbolsonaro;@jairbolsonaro O Sr Presidente com seu decreto de colocar atividades religiosas como essenciais est· colocando em risco os crist„os. Muito provavelmente igrejas que n„o querem perder arrecadaÁ„o continuar„o reunindo centenas de pessoas que, com certeza, p;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24537;@jairbolsonaro;@jairbolsonaro @folha mds quando que seu teste de CORONAVIRUS vai finalmente dar positivo veio sequelado  https://t.co/gyxRm8gPG8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24540;@jairbolsonaro;@FlavioBolsonaro agora o discurso comeÁa a mudar. Nosso presidente @jairbolsonaro tinha raz„o desde sempre. A fome mata mais q o coronavÌrus , onde realmente precisamos proteger nossos idosos e crianÁas https://t.co/tpFpRb9FSg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24542;@jairbolsonaro;@FabioAlmeidazp @RomeuZema @jairbolsonaro PorÈm conheÁo alguÈm que trabalha na santa casa de BH, q disse q um bebÍ de 2 anos veio a Ûbito por contrair Corona l· no hospital, ele tinha dado entrada com sintomas de gripe e seria liberado no outro dia porÈm ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24544;@jairbolsonaro;@jairbolsonaro @DefesaGovBr @marmilbr @exercitooficial @fab_oficial vai dar uma arma p atirarem no corona kkkkk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24546;@jairbolsonaro;@AliceBrazil38 @isentoes2 @carnavalnosofa @jairbolsonaro coronavÌrus È invenÁ„o de MILICIANO!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24549;@jairbolsonaro;@allantercalivre @LorenzonItalo @lhmandetta @jairbolsonaro @BolsonaroSP  Testes de kits chineses de coronavÌrus acertando em apenas 30% dos casos. https://t.co/zjuTBJXJVp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24551;@jairbolsonaro;@JornalDaCidadeO O DESGRA«ADO D”RIA SABIA DO CORONA EM JANEIRO E MESMO ASSIM BOTOU 600 BLOCOS NAS RUAS NO CARNAVAL E EM 08/03 MANDOU 20MIL PESSOAS PARA A CORRIDA DAS MULHERES E AGORA PROIBE TUDO?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VAI PARA O INFERNO FDP.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"@gen_heleno @jairbolsonaro""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24553;@jairbolsonaro;@RMulekinn @jairbolsonaro @folha Cuidado data do Twitter petralha o Twitter  esta com corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24556;@jairbolsonaro;@PMorenoB @realTrump4ever @jairbolsonaro @lhmandetta @CarlosBolsonaro @PauloMMMEDEIROS @limaynardes @FlavioXSid @Lilian98715418 @aruthcao @Jorge42931348 Na It·lia alÈm disso  os hospitais passaram a n„o  atender outros casos sÛ corona, se vc chegar com um;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24562;@jairbolsonaro;@BolsonaroSP @carlosjordy @jairbolsonaro Ser· q teu pai  n„o est· transmitindo corona para os funcion·rios?pq atÈ agora todos prÛximos a  ele est„o caindo pelas beiras !!Olha isso È muito sÈrio!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24565;@jairbolsonaro;"@jairbolsonaro Aproxima ""ipdemia"" ser· A recess„o causada por governadores que est„o estrategicamente desejando destruir o governo e n„o o coronavÌrus. Pasmem.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24566;@jairbolsonaro;@pedrophbfr @jairbolsonaro Se a economia n„o voltar imediatamente a gnt vai quebrar, e vai ser bem pior q o coronavÌrus, pessoas do grupo de risco deve permanecer em confinamento( idosos, pessoas com deficiÍncia, etc) e resto voltar a rotina com devidos c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24567;@jairbolsonaro;@jairbolsonaro VAMOS CORTAR OS SAL√ÅRIOS DOS MINISTROS E PARLAMENTARES EM 50%, PARA AJUDAR NA CAMPANHA CONTRA O CORONAVÕRUS?? https://t.co/fp7Ru3Umfh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24572;@jairbolsonaro;@jdoriajr @jairbolsonaro Vc È um parasita, vigarista, oportunista, se aproveitou do Alkimin para chegar a prefeitura e depois de Bolsonaro para chegar ao governo e traiu ambos achando que com o orÁamento do estado de S„o Paulo e carona no corona ser· pres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24573;@jairbolsonaro;@scotth_douglas @RomeuZema @jairbolsonaro O prÛprio Zema falou que em minas teve 153 casos e NENHUMA morte. MG È o estado mais POPULOSO do paÌs e teve 0 Mortes por Corona. Nesse mÍs deve ter morrido mais gente de dengue que de CoronavÌrus rsrs https://t.c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24574;@jairbolsonaro;@Rafael7274 @saraha_vic @Ilan_Patrick @joaofcr @jairbolsonaro Considere diferenÁas culturais.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M·scara diariamente; independentemente da corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lavar as m„os e gargarejos tambÈm s„o cotidianos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ProibiÁ„o rigorosa de pÈs sujos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sem beijos e abraÁos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
odeio tocar os outros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"N„o compartilhe comida""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24575;@jairbolsonaro;@jairbolsonaro @DefesaGovBr @marmilbr @exercitooficial @fab_oficial more o maior virus q a gnt tem q combater È vc, n o corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24576;@jairbolsonaro;@jairbolsonaro A ˙nica coisa boa do corona È que a Vera Magalh„es est· cumprindo a quarentena, deixando de destilar Ûdio no Twitter.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24577;@jairbolsonaro;@roxmo Acho que o coronavÌrus foi criado pelo @jairbolsonaro hahahahahah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24582;@jairbolsonaro;Drussyla atleta e com coronavÌrus eae @jairbolsonaro o que vc diz sobre isso em;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24583;@jairbolsonaro;@TheInterceptBr @demori @NPTO @jairbolsonaro Se vierem a Boston depois que esse pesadelo acabar, tem uma turma aqui querendo muito ir prum pub com vcs  bater papo sobre polÌtica, economia e futebol (pq alÈm de todo o estrago, o corona ainda est· boicotand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24584;@jairbolsonaro;@jairbolsonaro (...) inevitavelmente vir· e ela j· viria atÈ mesmo sem o Corona devido √† polÌtica que vc faz! PalhaÁo! Quer falar quando a crise chegar: ‚ÄúT· vendo, eu avisei, deveriam ter voltado ao trabalho, agora aguentem!‚Äù ... vocÍ È um PalhaÁo s·;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24589;@jairbolsonaro;@mia83492878 @sergio3008 @isentoes2 @jairbolsonaro Vc sera presa por trabalho infantil :D kkk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SÛ sabe xingar nÈ? Fala ae;" pra qq serve um governo? Pra fazer dinheiro? C È sÛ isso q tu quer... nn tem problema c sua vÛ morrer? c a minha vÛ morrer por sua? SÛ pq vc pegou corona d alguem e tussiu perto da minha vÛ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24596;@jairbolsonaro;@elzapatona @Cleitoncmd @Iceflamess1 @jairbolsonaro Gera muito dinheiro, mas foi exatamente essa merda que gerou os tantos de casos de Corona, n„o È atoa que 2 dias depois j· tinha casos em SP, Corona da sinal sÛ 7 dias depois, e j· contamina em 4 dias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24597;@jairbolsonaro;@orafaeleall @DomSilvio @jairbolsonaro VocÍ n„o assistiu o vÌdeo. SÛ isso. Eu j· te mostrei que o n˙mero de mortos ser· maior do que o n˙mero de vÌtimas por corona. SÛ. Isso È lÛgica. Vamos quebrar e o povo sucumbir· POR FOME. VocÍ, provavelmente, n„o.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24598;@jairbolsonaro;@scotth_douglas @RomeuZema @jairbolsonaro Mas o coronavÌrus v„o vai morrer meu caro. O H1N1 È de 2009 ele t· aÌ ainda matando 750 por ano no Brasil(oq dar 2 pessoas mortas por dia). Se vc sair de casa pra trabalhar daqui a 2 ou 6 meses o corona ainda esta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24606;@jairbolsonaro;@schibian @jairbolsonaro Mesma maneira que lidamos com H1N1,todos v„o pegar o vÌrus mais cedo ou mais tarde mas n„o com a mesma intensidade, os velinhos que podem morrer s„o aqueles como meu pai com 23 kg a menos e baixa imunidade! Vc conhece 1 sÛ pessoa ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24607;@jairbolsonaro;@Rafael_Oliveira @lilian_tahan @jairbolsonaro @Metropoles @planalto Se ele tiver com CORONAVIRUS na idade que ele tem esse virus nao È nada de mais msm.. Porque simplesmente o homem t· aparentando esta muito bem!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24608;@jairbolsonaro;@jairbolsonaro  e o maior disseminador do coronavÌrus no Brasil. https://t.co/vzJOxSTPUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24609;@jairbolsonaro;"@lilian_tahan @jairbolsonaro @Metropoles esse monstro È um assassino, ele tem plena certeza de que n„o È sÛ uma ""gripizinha"" q ""sÛ mata idosos"", sÛ diz isso pq È mercen·rio e irrespons·vel, um baita c*z„o!";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sem falar q ele msm tbm deve t· com corona e t· escondendo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"#ForaBolsonaro #ImpeachmentDeBolsonaro""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24615;@jairbolsonaro;@EstadaoPolitica @jairbolsonaro Dos milhares de pessoas que deram positivo para coronavÌrus quantos est„o internado diretamente dos sintomas aparente para coronavÌrus vamos confrontar dados com fatos matem·tica de ciÍncia exatas È preciso confrontar dado ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24618;@jairbolsonaro;@CarlosBolsonaro @jairbolsonaro MÈdico dando sua opini„o sobre o coronavÌrus. Se vc È a favor do que ele disse dÍ um rt. #bolsonarotemrazao https://t.co/n1JkZOOdhF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24621;@jairbolsonaro;Fogo na amazonia... oleo nas praias... CORONAVIRUS... ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"q marÈ de azar heim @jairbolsonaro üòÅ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24622;@jairbolsonaro;@jairbolsonaro @folha Bom dia j· fez teste po corona hoje? üòçüòçüòçüòçüòçüòçüòçüòç;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24624;@jairbolsonaro;@roxmo @RenatoBF60 @jairbolsonaro Eles com certeza ja  sabiam usaram o CORONAVIRUS para fazer a palhaÁada agora a Folha publicou üëá https://t.co/PilTXWK90u;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24629;@jairbolsonaro;@alefrota77 @VEJA @jairbolsonaro Sem corona ou com corona ele tem que descer a rampa acompanhado de um cabo e um soldado üò°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24631;@jairbolsonaro;@ronaldocaiado O PR @jairbolsonaro falou q nele mesmo idoso o corona age como gripezinha resfriadozinho e vc È um mentiroso q subiu no palanque e ficou com @jdoriajr e n„o quer descer . Que cretino! https://t.co/MEWjeFbJEi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24634;@jairbolsonaro;@jairbolsonaro @DefesaGovBr @marmilbr @exercitooficial @fab_oficial Mais uma pessoa diretamente ligada a esse genocida est· internado gravemente com corona e esse FDP se nega a mostrar os exames;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24636;@jairbolsonaro;@GabrielRaupp10 @o_antagonista @jairbolsonaro Vc sabe ler? Vc sabe ouvir? Quem È grupo de risco deve e tem que ficar em casa! Vc com 38 anos de idade tem mais chance de morrer por qualquer coisa, como homicÌdio e acidentes de carro, do que pelo corona, qu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24637;@jairbolsonaro;@diogos_mont @patyhomeopatia @jairbolsonaro Porque o coronavÌrus (Covid-19) n„o ataca todos respons·veis direta e indiretamente por corrupÁ„o seja por desviar verbas p˙blicas ou aceitar suborno para n„o cumprir com a lei ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24640;@jairbolsonaro;Hoje todos os agentes de sa˙de da prefeitura do Distrino Norte de Manaus receberam o kit contra o coronavÌrus para trabalhar na rua. Foram 2 pares de luvas e 3 m·scaras. Alcoolgel e quarentena nem pensar!Pode isso ? @sikerajr @jairbolsonaro @lhmandetta @allantercalivre https://t.co/bwynaPRyAy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24647;@jairbolsonaro;"@FlavioBolsonaro @jairbolsonaro ""As pessoas"" n„o enxergam o caos social que est· por vir sÛ querem atacar o presidente!Mas,afinal de contas o que È melhor, coronavÌrus ou caos social?ü§î";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24649;@jairbolsonaro;@jairbolsonaro amigo... vamos l· N√O … S” VELHO QUE PEGA CORONAVÕRUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24652;@jairbolsonaro;@jdoriajr @jairbolsonaro @chxoficial @zcloficial alguÈm por favor faÁa alguma coisa?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inaceit·vel ele n„o ter sido contratado p/cantar no perÌodo do CORONAVIRUS. O povo viajando; passeando e se fartando d comer e beber e eles; coitadinhos;" 2 meses d fÈrias e ela tendo q trabalhar. https://t.co/XoLNswPq4V""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24653;@jairbolsonaro;@jairbolsonaro coronavÌrus agora virou politicagem arrombado???;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24654;@jairbolsonaro;@jpereiranha @jairbolsonaro Amanh„, as 10:00 hs, na praÁa da Matriz, um monge estar· benzendo as pessoas pra n„o pegarem o CORONAVIRUS.  J· coloquei o teu nome  na lista e com direito a tocar o sino.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"VÍ se chega na hora! https://t.co/a8C9bdyYSX""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24656;@jairbolsonaro;@marcofeliciano @jairbolsonaro Deixa de postar mentiras, isso foi um movimento contra o Corona, nada a ver com o merda do teu presidente, seu mau car·ter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24658;@jairbolsonaro;@Luciano2332 @RomeuZema @jairbolsonaro Quarentena È a cada 15 dias (geralmente) ninguÈm quer tomar essa medida mas e ela for a mais eficiente contra o Corona? PaÌses desenvovldos tomaram essa atitude.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24660;@jairbolsonaro;@jairbolsonaro @DefesaGovBr @marmilbr @exercitooficial @fab_oficial Presidente, qdo o acusarem pelas mortes do Corona, jogue na cara deles as quase 250 mil vidas poupadas devido √†s polÌticas de seguranÁa e armamentos desde que entrou no Governo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24661;@jairbolsonaro;@jairbolsonaro @folha O senhor È igual ao coronavÌrus, ninguÈm quer...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24666;@jairbolsonaro;@EstadaoPolitica @jairbolsonaro E ele? Ta com o que? Uma gripezinha... por isso essa confianÁa toda e esse desdenho todo contra o Corona... no dia 15/03 esse incompetente ja estava contaminado...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24667;@jairbolsonaro;@jairbolsonaro N„o È medo do Corona. O medo hoje È ficar doente de qualquer coisa e n„o ter atendimento nos hospitais. Tome a frente como Pr para ajudar os governos estaduais e depois falamos de resfriadinhos e 2022.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24668;@jairbolsonaro;@leoportela_  vamos compartilhar isso. Todo mundo ajudando e os deputados atÈ agora n„o fizeram nada. Esse dinheiro que È para campanha das eleiÁıes e do povo. Vamos exigir que ele seja destinado para ajudar no combate ao Corona.  @alexandrekalil @RomeuZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24670;@jairbolsonaro;@lilian_tahan @jairbolsonaro @Metropoles Pela empolgaÁ„o, vc est·  claramente torcendo para o coronavÌrus. Segura a onde, pois desse jeito vai acabar tendo um orgasmo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24671;@jairbolsonaro;@MarleneFFL UÈ @ronaldocaiado pode fazer aglomeraÁ„o! Vc È medico! A determinaÁ„o do ministÈrio da sa˙de È evitar AGLOMERA«’ES, e isso aÌ, se for real, È uma aglomeraÁ„o GIGANTESCA em Època de coronavÌrus, o que est· acontecendo? SÛ @jairbolsonaro n„o pod;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24674;@jairbolsonaro;@BolsonaroSP @verdeamarelou @carlosjordy @jairbolsonaro Mas È  um cretinos safado....Ali·s t·  cheio...Chama o corona...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24686;@jairbolsonaro;@BolsonaroSP @carlosjordy @jairbolsonaro Os mais de 57 milhıes de brasileiros, na verdade beeeem mais, n„o caem mais nessa narrativa ridÌcula! Eles que sabem, tentem que vao ver o cabarÈ pegar fogo! Com corona ou sem corona! @jdoriajr ,@leandroruschel ,@B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24690;@jairbolsonaro;@BolsonaroSP @carlosjordy @jairbolsonaro Manda fechar as portas o comÈrcio e as ind˙strias e depois quer pedir MAMADEIRA do governo federal! V„o trabalhar e combater o coronavÌrus com responsabilidade seus vagabundos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"#BolsonaroTemRazao https://t.co/LP2sO9stDE""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24691;@jairbolsonaro;@EstadaoPolitica @jairbolsonaro LÛgico, quem milita do lado do figurante do planalto tem que pegar corona mesmo! E sacrificar a famÌlia tambem! Kkkkkk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Quando a m„e morrer faz hamburger kkkkkk""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24692;@jairbolsonaro;@jairbolsonaro @folha Bolsonaro ficou mais forte nessa histÛria do coronavÌrus.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24694;@jairbolsonaro;@NascimentoD1995 @joaofcr @jairbolsonaro Sim, a ida de v·rios atletas, turistas e jornalistas de v·rios locais do mundo tornaria o Jap„o um epicentro do coronavÌrus. O cara acima quis colocar que o evento foi cancelado pq l· est· ruim, o que n„o È verdade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24695;@jairbolsonaro;@jairbolsonaro Noticia da Globo:Bolsonaro importa remedio ,sem comprovada eficacia, para o tratamento do CORONAVIRUS.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24701;@jairbolsonaro;@o_antagonista @jairbolsonaro Esse seguranÁa n„o est· assim por causa do corona, mas sim porque tinha doenÁas prÈ-existentes. Mais uma vez a mÌdia quer que o povo fique p‚nico. Enquanto n„o houver puniÁ„o severa para esse tipo de coisa, o Brasil sÛ perder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24706;@jairbolsonaro;@jairbolsonaro @folha BRASIL NELES CORONA … IGUAL AIDS, TUDO PSICOL”GICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24709;@jairbolsonaro;@o_antagonista @jairbolsonaro O figurante do planalto t· espalhando corona pra todo lado kkkkkk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24712;@jairbolsonaro;@NovolindoS @DosDinamarcia @RMulekinn @jairbolsonaro @folha Ela t· na wifi zone de perigo do corona kkkkk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24715;@jairbolsonaro;@jairbolsonaro O corona-vÌrus tambÈm n„o pega em cracudo? PorquÍ n„o saÌ uma linha falando que morador de rua e cracudo est„o com o corana-virus, ser· que o corona-vÌrus sÛ pega em trabalhador.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24718;@jairbolsonaro;@jairbolsonaro adote as medidas econÙmicas p/ enfrentar a crise do coronavÌrus como na Europa.Aplique a lei 10. 835/2004 q institui uma renda b·sica d cidadania p/ os brasileiros. O POVO PEDE A«√O! N„o seremos vÌtimas do Corona e da inÈrcia do seu governo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24720;@jairbolsonaro;@jairbolsonaro Uma pergunta se alguÈm souber responder, porquÍ os Governadores n„o sabem, porquÍ n„o temos morador de rua internado ,os caras dormem no ch„o sujo,entre outras coisas que fazem,ser· que o corona-vÌrus sÛ pega em trabalhador. N„o È possÌvel.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24721;@jairbolsonaro;@jairbolsonaro Estamos juntos CAPIT√O. Merda na CABE«A  mata mais que vÌrus de qualquer espÈcie. Ali·s, o Brasil nos ˙ltimos  30 anos desenvolveu,  com muito sucesso, o vÌrus mais mortal que o Corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24723;@jairbolsonaro;"""brasil È o ˙nico paÌs que est· desunido no combate ao corona""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
boe;" n„o existe """"polarizaÁ„o""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"a culpa È ˙nica e exclusivamente do irrespons·vel @jairbolsonaro""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24724;@jairbolsonaro;@CNNBrasil Pensei que a CNN seria diferente da Band e Globo, mas os seus analistas da crise do CORONAVIRUS s„o iguais aos da Globo e Band, decepcionante! @JornalDaCidadeO @Metropoles @jairbolsonaro @sbtjornalismo @jornaldarecord @jornaldarecord;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24725;@jairbolsonaro;@rittner_daniel @jairbolsonaro È um idiota e como a ignor‚ncia È mais contagiante que o coronavÌrus, anda sempre seguido de seus discÌpulos contaminados. ParabÈns, Imprensa brasileira! O trabalho de vocÍs nos honra muito..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24728;@jairbolsonaro;@Soniamar1234 @andregguerrero @FlavioBolsonaro @jairbolsonaro @CarlosBolsonaro A crise econÙmica vai matar mais gente que o coronavÌrus, a crise do corona sÛ vai acabar depois que fabricarem a vacina, porÈm isso pode demorar de 2 anos para mais. O Brasil ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24731;@jairbolsonaro;"@BolsonaroSP @jairbolsonaro @ClaudeLuca_ @criticanac E quem foi o maior incentivador da ""autonomia"" tirando milhıes com CLT e colocando-os no ""empreendedorismo"" ...... privilegiou o patronato e ferrou o trabalhador .... mas n„o cobtava com o corona e a ma";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24732;@jairbolsonaro;@jairbolsonaro @petrobras Eu quero È saber do meu marido que t· embarcado e com v·rios casos de coronavÌrus nas plataformas!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24734;@jairbolsonaro;@o_antagonista @jairbolsonaro @jdoriajr üéØCorona J· Estava No Brasil Em #JaneiroSim .#Carnaval Espalhou O VÌrus #Sim #DoriaInresponsavelü•≥ #AlcolumbrePulouCarnavalü•≥ #WitzelPulouCarnaval ü•≥.#GovernadoresCulpadosSim #VirusChinesSim #BolsonaroTemRaz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
