;usuario;texto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;@jairbolsonaro;@jairbolsonaro DESGRA«ADO, CORONAVIRUS TEM QUE TE PEGAR LOGO P VC MORRER SEU VELHO IN⁄TIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;@jairbolsonaro;@jairbolsonaro corona eu deixo em tuas m„os;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;@jairbolsonaro;@jairbolsonaro Nossa, isso È incrÌvel. Vai governar o PAÕS P O R R A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Fica de segunda a sexta gerando crise e no FDS vai para a rua pisotear de cavalo na cara das famÌlias dos mais de 30 mil mortos pelo coronavÌrus.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;@jairbolsonaro;@marcofeliciano @jairbolsonaro @MinLuizRamos @secomvc @fabiowoficial Atos do governo Federal:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Distribuir cargos do governo no toma l·; da c· com polÌticos CORRUPTOS do centr„o.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pegar um helicÛptero da FAB e passear por BrasÌlia e depois d· uma voltinha de cavalo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enquanto isso;" quase 30 mil mortos no Brasil pelo coronavÌrus""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;@jairbolsonaro;@jairbolsonaro agora È com vc corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;@jairbolsonaro;@jairbolsonaro se o CORONAVIRUS entrar no seu corpo ele morre de desgosto por saber que È vc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;@jairbolsonaro;@AbreuOracio @CarlaZambelli38 @jairbolsonaro ESQUERDOPATA … DOEN«A INCUR¡VEL MATA MAIS QUE O CORONAVÕRUS … CORRUPTA E HOMICIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;@jairbolsonaro;@OzeiasSouza19 @CarlaZambelli38 @Francis39831693 @jairbolsonaro ESQUERDOPATA … DOEN«A INCUR¡VEL MATA MAIS QUE O CORONAVÕRUS … CORRUPTA E HOMICIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;@jairbolsonaro;@jairbolsonaro Corona tb fala isso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;@jairbolsonaro;@jairbolsonaro Meu deus volta pra casa pra n„o passar corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;@jairbolsonaro;@OzeiasSouza19 @CarlaZambelli38 @Francis39831693 @jairbolsonaro ESQUERDOPATA … DOEN«A INCUR¡VEL MATA MAIS QUE O CORONAVÕRUS … CORRUPTA E HOMICIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;@jairbolsonaro;@jairbolsonaro o povo t· sendo enterrado por conta do coronavÌrus, espero q vocÍ tmb seja em breve ü•≥üôèüèΩ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;@jairbolsonaro;@jairbolsonaro Tomara que o corona esteja tbm com vocÍs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;@jairbolsonaro;@CelleCatwoman @aleiatorio @jairbolsonaro Tinha CORONAVIRUS em 70 nÈ? Pela comparaÁ„o ü§¶üèø‚Äç‚ôÄÔ∏è;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;@jairbolsonaro;@jairbolsonaro espero q pegue corona e morra velho maldito burro jegue fascista;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;@jairbolsonaro;@jairbolsonaro Por favor senhor presidente, me faÁa um favor, eu ficaria t„o grato...pegue corona no meio dessa multid„o e v· para puta que pariu pq nem o inferno merece vc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;@jairbolsonaro;@jairbolsonaro Tomara que n„o tenha pegado o corona mesmo pra ter a oportunidade de pegar agora;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;@jairbolsonaro;@jairbolsonaro com o corona, vai estar mesmo, todos em baixo da terra, fazer uma manifestaÁ„o em pandemia e com presidente apoiando, isso È o brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;@jairbolsonaro;@jairbolsonaro Mesmo que eles possam te passar corona?? Ent„o vai l·, acredite no seu potencial, ou na sua burrice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;@jairbolsonaro;@jairbolsonaro errr.. o povo est· morrendo de corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;@jairbolsonaro;@jairbolsonaro a maioria do povo brasileiro est· em uma cova por causa do corona, vai la com eles pf üòçüòçüòçüòçüòçüòçüòçüòç;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;@jairbolsonaro;@jairbolsonaro POR FAVOR CORONA FA«A SEU TRABALHO üôè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;@jairbolsonaro;@jairbolsonaro tomara q pega corona e morre logo de uma vez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;@jairbolsonaro;@jairbolsonaro corona eu entrego em suas m„os;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;@jairbolsonaro;@jairbolsonaro corona faÁa o seu trabalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;@jairbolsonaro;@jairbolsonaro Sua vez, corona. Mandaver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;@jairbolsonaro;@jairbolsonaro tomara que o corona te pegue velho caquÈtico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;@jairbolsonaro;@jairbolsonaro No cemitÈrio,nÈ!! T· achando que coronavÌrus È brincadeira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;@jairbolsonaro;@jairbolsonaro tomara que pegue o corona e morra tambÈm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;@jairbolsonaro;@jairbolsonaro @Mapa_Brasil @mdregional_br E os mortos pelo corona? Vai fazer o que?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;@jairbolsonaro;@CarlaZambelli38 @jairbolsonaro A diferenÁa entre o Brasil e os outros paÌses nessa pandemia, È que os outros combatem apenas o coronavÌrus ü¶† enquanto no Brasil alÈm do coronavÌrus temos que conviver como o bolssonaro vÌrus, que È mais letal ainda.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;@jairbolsonaro;@jairbolsonaro espero que va pro mesmo lugar que as 30 mil pessoas que morreram por corona tambem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;@jairbolsonaro;@jairbolsonaro Com todo respeito √†s vÌtimas do Corona, mas se quer de vdd pegar e virar mais um pra estatÌsticas nÈ!?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;@jairbolsonaro;@jairbolsonaro nem pro corona t m4t4r seu velho podre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;@jairbolsonaro;@crazzygor @jairbolsonaro j· que o povo t· morrendo de corona pq ele n„o vai junto?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;@jairbolsonaro;@jairbolsonaro tomara que pegue corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;@jairbolsonaro;@jairbolsonaro pq que o corona nao pega ele;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;@jairbolsonaro;@jairbolsonaro mano tu È demente?? vai se fuder cara, vc deveria estar l· na sua casa arrumando uma forma se REDUZIR OS CASOS DE CORONA SEU IN⁄TIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;@jairbolsonaro;@jairbolsonaro enquanto isso:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
501.985 casos de corona no brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.872 mortes ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
investigaÁıes envolvendo v·rias pessoas aliadas a ele;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ele finge que nada est· acontecendo e apenas vai pra rua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SEM M√ÅSCARA.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"esse È o comportamento de um PRESIDENTE DA REP⁄BLICA?""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;@jairbolsonaro;@jairbolsonaro CORONA FA«A OQ FOR PRECISO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;@jairbolsonaro;@jairbolsonaro que o corona te elimine amÈm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
