,usuario,texto;;
"469,@felipeneto,""@felipeneto No Brasil escolheram o nome mal. Milhares de histórias tem esse nome, dois irmaos. Corona prejudicou esse filme tbm. Quando ele estreou começou tudo""";;
"494,@felipeneto,""@felipeneto Sinto que os únicos que estão contra o Corona são os médicos mesmo ";;
"É tenso ver cidades em que a população não respeita nada que é decretado""";;
503,@felipeneto,E cabe ao @felipeneto resolver o corona vírus... Sério resolve meu pai possivelmente pode ter corona me ajude!!!! ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜;;
565,@felipeneto,@felipeneto A gente sério eu já perdi a paciência com esse doentes defensores do Bolsonaro. Taca fogo nesses 30% e o mundo volta a ser feliz e o Corona vírus vai embora.;;
587,@felipeneto,@felipeneto Engraçado e o Drauzio Varella que disse que o corona vírus não era uma gripezinha que não era pra ficar preocupados que o clima quente do Brasil ele não iria causar danos e vc não fala nada e vem fala do Osmar terra amiguinho da Tábata Amaral vera MagalhÃes agência fatos;;
"595,@felipeneto,""@CassiusHenriqu4 @felipeneto Na verdade não conseguem mais aguentar a pressão dos grandes empresários que vão continuar dentro dos seus sÍtios se protegendo contra o corona, enquanto seus funcionários se matam""";;
597,@felipeneto,@felipeneto será que os antivacinas vão se recusar a tomar a vacina do corona quando sair?ğŸ¤”;;
"598,@felipeneto,""@3m1llyline @felipeneto Não tenha tanta certeza. Nos eua não teve necessariamente um pico. Flexibilizaram as leis de quarentena e de qualquer forma eles já estão com a vacina na mão. A gente não. Aqui a gente tem que lidar com 3 tipos de vírus: Bolsonaro, Bolsominion e o corona""";;
681,@felipeneto,@Ricardo09488070 @felipeneto Essa amizade foi antes do Corona;;
706,@felipeneto,@ProgramadorEst1 @3contajameudeus @hjnabin @depretas @felipeneto @allantercalivre Sim! E o Corona vírus tbm ğŸ¤·ğŸ»â€â™€ï¸;;
707,@felipeneto,@ProgramadorEst1 @3contajameudeus @hjnabin @depretas @felipeneto @allantercalivre Cara! PERDÃO! Eu me confundi com os nomes! O que defende a terra plana é o tal do Enzo. O Allan dos Santos foi o que comparou o Corona vírus Ã  terra plana no Ã¢mbito da saúde. Ambos estão sendo investigados.;;
716,@felipeneto,@MauMeirelles @felipeneto @SOCIO_CORONA  carteirinha pro corno raivoso aqui nunca te pedi nada;;
"781,@felipeneto,""@rafaelfrak @felipeneto ja que isolamento no seu achismo não funciona, sai da sua casa, pega corona e volta pra passar pro resto da familia. pronto""";;
"800,@felipeneto,""@kaualmim @coronavirusnobr @felipeneto @tt_perolass sim eu entendi";;
;;
"kkk e eu q no inicio do corona n sabia o q era realmente achei q era vírus de  computador""";;
"810,@felipeneto,""@felipeneto como se a quarentena no brasil estivesse parando os casos, as áreas periféricas sao, em geral, com o menor índice de isolamento. O problema é o sistema de saúde brasileiro. Se continuar assim, vão morrer ou de corona ou de fome""";;
872,@felipeneto,@saytzefff @idmariano @felipeneto @SOCIO_CORONA O q tem coronavirus a ver com a tentativa do presidente e seus aliados de barrar as investigações do STF sobre fake news?;;
877,@felipeneto,@felipeneto Eu tive um sonho com você não foi nada bom não sai de casa senão você vai ficar Corona Ah e fala #felipe responde porque você ainda tá com a Jussara 2 se você e você colocou o filho dele no mundo então quem tem que julgar é você né;;
"927,@felipeneto,""@CanalNandaLaila @OViniCampos @felipeneto Arrisca lá, conte para nós depois o desespero q é descobrir q está com corona, e caso entre em óbito, tenta falar pra nós se valeu a pena!""";;
929,@felipeneto,@CanalNandaLaila @felipeneto @SOCIO_CORONA  carteirinha;;
