Source,Target,Type,Weight
450,26041,Directed,1
451,26042,Directed,1
452,26043,Directed,1
453,26044,Directed,1
454,26045,Directed,1
455,26046,Directed,1
456,26047,Directed,1
457,26048,Directed,1
458,26049,Directed,1
459,26050,Directed,1
460,26051,Directed,1
461,26052,Directed,1
462,26053,Directed,1
463,26054,Directed,1
464,25861,Directed,1
465,26055,Directed,1
466,26056,Directed,1
467,26057,Directed,1
468,26058,Directed,1
469,26059,Directed,1
470,26060,Directed,1
471,26061,Directed,1
472,26062,Directed,1
473,26063,Directed,1
474,26064,Directed,1
475,26065,Directed,1
476,25803,Directed,1
477,26066,Directed,1
478,26067,Directed,1
479,26068,Directed,1
480,26069,Directed,1
481,26070,Directed,1
482,25818,Directed,1
483,26071,Directed,1
484,26072,Directed,1
485,26073,Directed,1
486,26074,Directed,1
487,26075,Directed,1
488,25818,Directed,1
489,26076,Directed,1
490,26077,Directed,1
491,26078,Directed,1
123,25755,Directed,1
492,26079,Directed,1
493,26080,Directed,1
494,26081,Directed,1
495,26082,Directed,1
496,26083,Directed,1
497,26084,Directed,1
498,25649,Directed,1
499,26085,Directed,1
500,26086,Directed,1
501,26087,Directed,1
502,26088,Directed,1
503,26089,Directed,1
504,26090,Directed,1
505,26091,Directed,1
506,26092,Directed,1
507,25673,Directed,1
508,26093,Directed,1
509,26094,Directed,1
510,26095,Directed,1
511,25649,Directed,1
512,26096,Directed,1
513,26097,Directed,1
514,25962,Directed,1
515,26098,Directed,1
516,26099,Directed,1
517,26100,Directed,1
518,26101,Directed,1
519,26102,Directed,1
520,26103,Directed,1
521,26104,Directed,1
522,26105,Directed,1
523,26106,Directed,1
524,26107,Directed,1
525,26108,Directed,1
526,26109,Directed,1
527,26110,Directed,1
528,26111,Directed,1
529,26112,Directed,1
530,26113,Directed,1
531,26114,Directed,1
532,26115,Directed,1
533,26116,Directed,1
534,26117,Directed,1
535,26118,Directed,1
536,26119,Directed,1
537,25987,Directed,1
538,26120,Directed,1
539,26121,Directed,1
540,26122,Directed,1
541,25803,Directed,1
542,26123,Directed,1
543,26124,Directed,1
544,26125,Directed,1
545,26126,Directed,1
546,26127,Directed,1
547,26128,Directed,1
548,26129,Directed,1
549,26130,Directed,1
550,25755,Directed,1
551,26131,Directed,1
552,26132,Directed,1
553,26133,Directed,1
554,26134,Directed,1
555,26135,Directed,1
556,26136,Directed,1
557,26137,Directed,1
558,26138,Directed,1
559,25649,Directed,1
560,26139,Directed,1
561,26140,Directed,1
562,26141,Directed,1
563,26142,Directed,1
564,25893,Directed,1
565,25673,Directed,1
566,26143,Directed,1
567,26144,Directed,1
568,26145,Directed,1
569,26146,Directed,1
570,26147,Directed,1
571,26148,Directed,1
572,26149,Directed,1
573,26150,Directed,1
574,26151,Directed,1
575,26152,Directed,1
576,26153,Directed,1
577,26154,Directed,1
578,26155,Directed,1
579,26156,Directed,1
580,26157,Directed,1
581,26158,Directed,1
582,25818,Directed,1
583,26159,Directed,1
584,26160,Directed,1
585,26161,Directed,1
586,26162,Directed,1
587,26163,Directed,1
588,26164,Directed,1
589,26165,Directed,1
590,26166,Directed,1
591,26167,Directed,1
592,26168,Directed,1
593,26169,Directed,1
594,26170,Directed,1
595,26171,Directed,1
596,26172,Directed,1
597,26173,Directed,1
598,26174,Directed,1
599,26175,Directed,1
600,26176,Directed,1
601,26177,Directed,1
602,26178,Directed,1
603,26179,Directed,1
604,26180,Directed,1
605,26181,Directed,1
606,26182,Directed,1
607,26183,Directed,1
608,26184,Directed,1
609,26185,Directed,1
