,usuario,texto;;;;;;;;
"1257,@JornalOGlobo,""@JornalOGlobo @AndreiaSadi #SmartFit  e @BioRitmoOficial , vcs apÛiam a fakenews? Assim com o sujo do Edgar Corona!""";;;;;;;;
1259,@JornalOGlobo,@JornalOGlobo A diferenÁa da Uni„o para os Estados È que a Uni„o n„o est· superfaturando os valores do que se compra... O tal Conselho ai deve estar analisando por valor gasto. A OperaÁ„o Corona Jato vai mostrar isso. Gasto com responsabilidade e sem roubo.;;;;;;;;
"1260,@JornalOGlobo,""@JornalOGlobo 11 de maio: bolsonaro inclui academias com serviÁos essenciais";;;;;;;;
;;;;;;;;
27 de maio: PolÌcia Federal apreende bens de Edgar Corona, dono da SmartFit, por financiar esquema de fake news do presidente;;;;;;;;
;;;;;;;;
"E o gado achando que a corrupÁ„o acabou...""";;;;;;;;
1264,@JornalOGlobo,@JornalOGlobo E o cara ainda se chama Corona.;;;;;;;;
1268,@JornalOGlobo,@JornalOGlobo Corona o que?  Essa È a qualidade do seu jornalismo?;;;;;;;;
"1269,@JornalOGlobo,""@JornalOGlobo Que vergonha,hem Edgar corona? @SmartFitoficial""";;;;;;;;
"1270,@JornalOGlobo,""@JornalOGlobo Nome do Cara tem corona, ent„o j· vimos que n„o presta!""";;;;;;;;
1274,@JornalOGlobo,@leimarete @Ciro20222 @JornalOGlobo E o sobrenome dele È Corona üò≥;;;;;;;;
"1279,@JornalOGlobo,""@JornalOGlobo Na lista de serviÁos essenciais que Bolsonaro publicou na medida provisÛria, as academias ganharam o direito de funcionamento durante a pandemia porque Edgard Corona pediu.""";;;;;;;;
"1280,@JornalOGlobo,""@JornalOGlobo Edgado Corona, seu dia chegar·. Edgado, que vergonha, fazendo vaquinha para financiar Ûdio e mentiras.""";;;;;;;;
1284,@JornalOGlobo,@JornalOGlobo Edgar coronavÌrus.;;;;;;;;
"1305,@JornalOGlobo,""@JornalOGlobo @LuizPersechini Guedes foi o primeiro vÌrus a gerar desemprego, o corona veio depois.""";;;;;;;;
"1307,@JornalOGlobo,""@JornalOGlobo medo do corona.  ninguÈm quer vir pro brasil, epicentro do corona no mundo. mundo todo sÛ fala nisso.""";;;;;;;;
1353,@JornalOGlobo,@JohnsonBruno7 @JornalOGlobo Daqui a pouco surge um novo remÈdio contra o Corona 50x mais caro. DaÌ≠ vocÍ segue a recomendaÁ„o da OMS que È comandada pelos globalistas! ü§∑üèæ‚Äç‚ôÇÔ∏èü§Æ;;;;;;;;
"1362,@JornalOGlobo,""@JornalOGlobo Se fala de corona e bolsonaro raclamam, se bota futilidade reclamam... kkkkk""";;;;;;;;
1393,@JornalOGlobo,@JornalOGlobo Foi levar um corona;;;;;;;;
"1428,@JornalOGlobo,""@JornalOGlobo … a globo descaradamente, torcendo pelo corona, fazendo jornalismo da pior qualidade em cima dos cad·veres da nossa gente. Jornalzinho mequetrefe esse. Uma bosta mesmo..""";;;;;;;;
"1436,@JornalOGlobo,""@JornalOGlobo Minha vÛ diz que serve pra Dengue, pra Corona nao üòÖüòÖüòÖ""";;;;;;;;
"1454,@JornalOGlobo,""@JornalOGlobo corona nem precisa se esforÁar. trabalha facim, facim, https://t.co/H9OWephEgZ""";;;;;;;;
1488,@JornalOGlobo,@JornalOGlobo VocÍs da globo que combatem a hidroxocloroquina se fossem contaminados pelo corona e o mÈdico dissesse que a ˙ltima tentativa de cura  de vocÍs fosse o uso desse remÈdio  certamente como s„o t„o contra escolheriam morrer serto.;;;;;;;;
"1494,@JornalOGlobo,""@JornalOGlobo #WitzelNaCadeia #HelenoHeroiNacional";;;;;;;;
;;;;;;;;
"Corona Jato em aÁ„o..!!!""";;;;;;;;
1503,@JornalOGlobo,@diogenesosilva @JornalOGlobo Se vÁ prefere a volta dos ladrıes aguarde as prÛximas eleiÁıes e faÁa campanha para eles. SÛ tiram o maluco no Voto. Antes de 31.12.2022 ele n„o sai. E tem.mais. vÁ corre o risco de ter que aguentar ele por mais 4 anos. Cuidado com seu coraÁ„o sen„o nem vai precisar do corona.;;;;;;;;
1514,@JornalOGlobo,@diogenesosilva @JornalOGlobo Esta doenÁa veio pra ficar. Ela vai ser mais uma gripe no nosso calend·rio anual de gripes. Mesmo quando chegar a vacina. Todo ano vamos ter que toma-la como ja tomamos a de h1n1. O corona vai continuar matando infelismente... Se cuidar È uma quest„o de conciencia de cada um;;;;;;;;
1528,@JornalOGlobo,@diogenesosilva @JornalOGlobo A CNN esta dizendo ai que o Peru foi o primeiro Pais na AL que tomou medidas contra o corona. O Peru deve ter uns 40 milhoes de habitantes? Pois bem... Ja tem 123 mil casos. 20 % da nossa populaÁ„o e ja tem quase 45% dos nossos casos registrados. Pro senhor ver como esta doenÁa È;;;;;;;;
1535,@JornalOGlobo,@JornalOGlobo Shape mais amado pelo corona.;;;;;;;;
1536,@JornalOGlobo,@JornalOGlobo @gugachacra E Trump isolou o Brasil de que e de quem Guga Chacra ? Porque ele proibiu a entrada de brasileiros nos eua ? Deixe de ser babaca cara. Todos os Paises do Mundo fecharam suas portas por causa do vÌrus. Deixe de ser idota e trabalhe serio. O coronavÌrus n„o È brasileiro...;;;;;;;;
"1548,@JornalOGlobo,""@JornalOGlobo Porra, eu estou vivendo uma DITADURA, ü•≥ü•≥ü•≥ü•≥ü•≥, os meus professores sempre falavou que a ditadura È algo assustador onde pessoa morrem aos montes e pelo o jeito n„o È nada disso, viva a ditadura. ü•≥ü•≥ü•≥ü•≥ Tirando o corona o resto t· Ûtimo!ü•≥ü•≥ü•≥ü•≥""";;;;;;;;
"1599,@JornalOGlobo,""@JornalOGlobo O vÌrus chamado polÌtica sabe a diferenÁa entre locais p˙blicos e privados, j· o coronavÌrus n„o! ";;;;;;;;
ComÈrcios, restaurantes, academias, shoppings n„o podem... Mas igreja pode? ;;;;;;;;
"Os pastores ai de BrasÌlia est„o precisando de dÌzimo?""";;;;;;;;
"1608,@JornalOGlobo,""@Hom3mPard0 @JornalOGlobo Responsabilidade EXCLUSIVA? üòÇüòÇ";;;;;;;;
"Exclusiva È a produÁ„o de cloroquina pelo exÈrcito, a despeito de decis„o contr·ria da OMS e as pesquisas internacionais, torrando (desviando) verba que deveria ser realocada para outros fins no combate ao corona.""";;;;;;;;
"1609,@JornalOGlobo,""@JornalOGlobo Enquanto eles ficam brigando entre si, o corona avanÁando, tr·fico de Drogas e milÌcias nem se fala mais nada.""";;;;;;;;
"1615,@JornalOGlobo,""@JornalOGlobo Por mim, pode abrir e depois trancar com todos l· dentro. O Corona faz a parte dele.""";;;;;;;;
"1627,@JornalOGlobo,""@JornalOGlobo Mas ainda n„o morreu nem um repÛrter da ativa mas estamos torcendo .e enquanto n„o morrer bastante jornalistas por coronavÌrus, saberemos que a globolixo est· mentindo""";;;;;;;;
"1628,@JornalOGlobo,""@JornalOGlobo O corona trouxe trÍs problemas: sa˙de, economia e roubalheira. Quase todo lugar que a situaÁ„o ficou mais crÌtica foi onde mais se aproveitaram da pandemia para roubar dinheiro p˙blico.""";;;;;;;;
"1633,@JornalOGlobo,""@JornalOGlobo Leviana È a atitude dele, faz o quÍ quer, sem papas na sua lÌngua podre, bate no peito como o poderoso Capit„o corona, late alto, depois, arrega, se borra toda e suplica por piedade ?!!""";;;;;;;;
"1639,@JornalOGlobo,""@brunnosarttori @folha @JornalOGlobo @Metropoles ”timo, assim os jornalistas n„o correm mais risco de serem infectados com raiva bovina, nem Corona, nem serem agredidos por um bando de psicopatas. … isso aÌ≠, parar de tocar tambor pra esses malucos danÁar. Tira o holofote deles que eles sossegam o faixo üí™üòâ""";;;;;;;;
1645,@JornalOGlobo,@JornalOGlobo @gugachacra Pensei que fosse o corona;;;;;;;;
1683,@JornalOGlobo,@JornalOGlobo Deixa o capit„o corona ! https://t.co/IC4kmjrWsw;;;;;;;;
"1700,@JornalOGlobo,""@JornalOGlobo Brasil tem a triste marca de 807 Ûbitos pelo coronavÌrus hoje e o MinistÈrio da Sa˙de alega 'tranquilidade' com cloroquina mesmo sob total descrÈdito de estudos. ";;;;;;;;
"… de deixar irado.üò°""";;;;;;;;
1731,@JornalOGlobo,@JornalOGlobo Se h· 23 mil mortos por coronavÌrus quantos respiradores precisariam para ter salvos estes entiqueridos que se foram como pode comprarem 120 respiradore ou 200 se fosse o caso mais se os hospitais est„o sem equipamentos e o b·sico de EPIS.;;;;;;;;
1733,@JornalOGlobo,@JornalOGlobo Mas a culpa de n„o ter estrutura nos hospitais pra todos n„o era do coronavÌrus?;;;;;;;;
"1756,@JornalOGlobo,""@JornalOGlobo UÈ, na igreja n„o pega corona ent„o? ü§∑""";;;;;;;;
"1817,@JornalOGlobo,""@JornalOGlobo @NatliaLadeira1 N„o tem mais aonde chegar informaÁıes falando das atrocidades cometidas por Bolsonaro n„o? O nosso planeta È pequeno demais, e agora .o que precisaremos para remover esse Bolsonaro junto com o coronavÌrus? Uma vacina para os dois males que est„o trazendo um Ûbito atr·s do outro""";;;;;;;;
"1839,@JornalOGlobo,""@Leandro69027764 @TrairaAnti @JornalOGlobo InterferÍncia em atos exclusivos do executivo federal, frescura do exame do corona, derrubada de projetos que favorecem o povo... deve ter mais alguns.""";;;;;;;;
"2110,@JornalOGlobo,""@JornalOGlobo Essa Globo adora espalhar mentiras, cuidado hein imprensa agora tem puniÁ„o pra fake news ainda mais sobre Corona.";;;;;;;;
"Olhem a programaÁ„o lixo de vocÍs, ainda bem que na minha casa n„o È ligada a Globo por mais de 3 anos, lixo sempre""";;;;;;;;
2119,@JornalOGlobo,@JornalOGlobo Go corona! Chance È o que nem te faltado!!@;;;;;;;;
"2123,@JornalOGlobo,""@JornalOGlobo coronavÌrus faÁa o seu trabalho!!! ";;;;;;;;
"Esse se for, j· vai tarde!!""";;;;;;;;
"2151,@JornalOGlobo,""@JornalOGlobo Vamos mecher a raba em casa com @aldairplayboy_  ";;;;;;;;
üö®LIVEüö® ;;;;;;;;
@aldairplayboy_;;;;;;;;
;;;;;;;;
https://t.co/qRim5iIYkq;;;;;;;;
;;;;;;;;
"#LadyGaga #globo #FicaEmCasa #Corona #EidMubarak #brasil #stf""";;;;;;;;
2182,@JornalOGlobo,@JornalOGlobo Quem sabe o corona trabalhe melhor do que o Ad....;;;;;;;;
"2240,@JornalOGlobo,""@JornalOGlobo Todo dia uma mentira diferente , È a 109873636363737783838383 descoberta que  colocara fim no CORONAVIRUS""";;;;;;;;
2291,@JornalOGlobo,@JornalOGlobo @jairbolsonaro j· t· imune a Corona e Comuna vÌrus ü¶†ü§£;;;;;;;;
2334,@JornalOGlobo,@raquelmarianobh @JornalOGlobo Vou pra Cuba longe de bozonaro e o coronavÌrus;;;;;;;;
"2349,@JornalOGlobo,""@mtscria_ @CalazansOficia @JornalOGlobo fonte: vozes na minha cabeÁa";;;;;;;;
;;;;;;;;
"n„o tem UMA notÌcia sobre isso. Inclusive tem notÌcias comparando n˙mero de morte por corona e por AVC, infarto e outros...""";;;;;;;;
"2457,@JornalOGlobo,""@JornalOGlobo Contou ? T· sobrando tempo?, e o corona?, quarentena e pa, nada pra fazer  contatar os palavrıes do PR  pro tempo passar.""";;;;;;;;
2473,@JornalOGlobo,@JornalOGlobo coronavÌrus;;;;;;;;
2533,@JornalOGlobo,@JornalOGlobo pq n„o tomam um copo de coronavÌrus È mais f·cil;;;;;;;;
