,usuario,texto;;;
766,@BolsonaroSP,@LucasOIiveira @va_olliver @BolsonaroSP Você  não gosta da verdade. Eu conheço aqui em Campinas uma pessoa que morreu de acidente automobilã­stico e no atestado de óbito deu coronavírus. Desta forma os familiares não tiveram direito a Seguro. Safado na verdade é  quem preencheu o atestado. Eu apenas quero a verdade.;;;
767,@BolsonaroSP,@JoseRicardo_94 @BolsonaroSP Você  não gosta da verdade. Eu conheço aqui em Campinas uma pessoa que morreu de acidente automobilã­stico e no atestado de óbito deu coronavírus. Desta forma os familiares não tiveram direito a Seguro. Safado na verdade é  quem preencheu o atestado. Eu apenas quero a verdade.;;;
768,@BolsonaroSP,@Edson87776904 @BolsonaroSP Você  não gosta da verdade. Eu conheço aqui em Campinas uma pessoa que morreu de acidente automobilã­stico e no atestado de óbito deu coronavírus. Desta forma os familiares não tiveram direito a Seguro. Safado na verdade é  quem preencheu o atestado. Eu apenas quero a verdade.;;;
769,@BolsonaroSP,@RobertoC1506 @OLucas_Alves @BolsonaroSP Você  não gosta da verdade. Eu conheço aqui em Campinas uma pessoa que morreu de acidente automobilã­stico e no atestado de óbito deu coronavírus. Desta forma os familiares não tiveram direito a Seguro. Safado na verdade é  quem preencheu o atestado. Eu apenas quero a verdade.;;;
770,@BolsonaroSP,@Gustavo_Liratav @BolsonaroSP Você  não gosta da verdade. Eu conheço aqui em Campinas uma pessoa que morreu de acidente automobilã­stico e no atestado de óbito deu coronavírus. Desta forma os familiares não tiveram direito a Seguro. Safado na verdade é  quem preencheu o atestado. Eu apenas quero a verdade.;;;
771,@BolsonaroSP,@RuanAbreu21 @BolsonaroSP Você  não gosta da verdade. Eu conheço aqui em Campinas uma pessoa que morreu de acidente automobilã­stico e no atestado de óbito deu coronavírus. Desta forma os familiares não tiveram direito a Seguro. Safado na verdade é  quem preencheu o atestado. Eu apenas quero a verdade.;;;
772,@BolsonaroSP,@AlexandreBugel1 @EduHenti @BolsonaroSP Você  não gosta da verdade. Eu conheço aqui em Campinas uma pessoa que morreu de acidente automobilã­stico e no atestado de óbito deu coronavírus. Desta forma os familiares não tiveram direito a Seguro. Safado na verdade é  quem preencheu o atestado. Eu apenas quero a verdade.;;;
773,@BolsonaroSP,@ValGome98054621 @jennynhaamorim @BolsonaroSP Vó e não gosta da verdade. Eu conheço aqui em Campinas uma pessoa que morreu de acidente automobilã­stico e no atestado de óbito deu coronavírus. Desta forma os familiares não tiveram direito a Seguro. Safado na verdade é  quem preencheu o atestado. Eu apenas quero a verdade.;;;
774,@BolsonaroSP,@Edson87776904 @BolsonaroSP Vó e não gosta da verdade. Eu conheço aqui em Campinas uma pessoa que morreu de acidente automobilã­stico e no atestado de óbito deu coronavírus. Desta forma os familiares não tiveram direito a Seguro. Safado na verdade é  quem preencheu o atestado. Eu apenas quero a verdade.;;;
775,@BolsonaroSP,@grasicardoso2 @BolsonaroSP Você  não gosta da verdade. Eu conheço aqui em Campinas uma pessoa que morreu de acidente automobilã­stico e no atestado de óbito deu coronavírus. Desta forma os familiares não tiveram direito a Seguro. Safado na verdade é  quem preencheu o atestado. Eu apenas quero a verdade.;;;
776,@BolsonaroSP,@LaudisEli @BolsonaroSP Vó e não gosta da verdade. Eu conheço aqui em Campinas uma pessoa que morreu de acidente automobilã­stico e no atestado de óbito deu coronavírus. Desta forma os familiares não tiveram direito a Seguro. Safado na verdade é  quem preencheu o atestado. Eu apenas quero a verdade.;;;
777,@BolsonaroSP,@Flaviambrito @BolsonaroSP Você  não gosta da verdade. Eu conheço aqui em Campinas uma pessoa que morreu de acidente automobilã­stico e no atestado de óbito deu coronavírus. Desta forma os familiares não tiveram direito a Seguro. Safado na verdade é  quem preencheu o atestado. Eu apenas quero a verdade.;;;
779,@BolsonaroSP,@hellvioharisson @BolsonaroSP @TwitterSafety Vó e não gosta da verdade. Eu conheço aqui em Campinas uma pessoa que morreu de acidente automobilã­stico e no atestado de óbito deu coronavírus. Desta forma os familiares não tiveram direito a Seguro. Safado na verdade é  quem preencheu o atestado. Eu apenas quero a verdade.;;;
"788,@BolsonaroSP,""@filipetrielli @BolsonaroSP Mano, kkkkkkkkk essa doença deve ser seria, e a gente com medo de coronavírus""";;;
"802,@BolsonaroSP,""@filipetrielli @BolsonaroSP Queria que o Presidente Bolsonaro no fim dessa pandemia, mandasse fazer exumação em todos os corpos que foram enterrados como sendo vã­tima de coronavírus. Para saber se estes números realmente Só verã­dicos. Os familiares dos que se foram, tem o direito de saber a verdade.""";;;
"803,@BolsonaroSP,""@BolsonaroSP @brasil_paralelo Queria que o Presidente Bolsonaro no fim dessa pandemia, mandasse fazer exumação em todos os corpos que foram enterrados como sendo vã­tima de coronavírus. Para saber se estes números realmente Só verã­dicos. Os familiares dos que se foram, tem o direito de saber a verdade.""";;;
"805,@BolsonaroSP,""@sensoinc @BolsonaroSP @aassibarreto Queria que o Presidente Bolsonaro no fim dessa pandemia, mandasse fazer exumação em todos os corpos que foram enterrados como sendo vã­tima de coronavírus. Para saber se estes números realmente Só verã­dicos. Os familiares dos que se foram, tem o direito de saber a verdade.""";;;
"813,@BolsonaroSP,""@teresacordioli @Musadocentrao @BolsonaroSP Acorda vovó, se cuida, coronavírus não tem cura, e vc Tá no grupo de risco, não viaja na cloroquina, isso é um concelho!!!""";;;
"815,@BolsonaroSP,""@BolsonaroSP Queria que o Presidente Bolsonaro no fim dessa pandemia, mandasse fazer autópsia em todos os corpos que foram enterrados como sendo ví­tima de coronavírus. Para saber se este números realmente Só verã­dicos.""";;;
837,@BolsonaroSP,@BolsonaroSP @SOCIO_CORONA carteirinha p ele;;;
838,@BolsonaroSP,@nandoviana @NandoOl30158367 @BolsonaroSP @SOCIO_CORONA carteirinha p ele;;;
"853,@BolsonaroSP,""@MVCOJi @pablokling @BolsonaroSP Ninguém fala que foi ele que alertou antes do Carnaval sobre o Corona virus, e os GOVERNADORES E PREFEITOS gananciosos se fingiram de dementes para ter o Carnaval. Pegar só um lado da história é mole jovem. é sim! os outros poderes estavam trabalhando contra o Brasil ğŸ‡§ğŸ‡·.""";;;
873,@BolsonaroSP,@BolsonaroSP @DrSerginho_ @carteiroreaca Com todo esse apoio o corona atinge todos os recordes no Brasil.;;;
926,@BolsonaroSP,@corsao @DaniloGentili @BolsonaroSP Pode fazer a carteirinha @SOCIO_CORONA;;;
933,@BolsonaroSP,@BolsonaroSP Mais do que 22.000 mortos do Corona-Virus.;;;
939,@BolsonaroSP,@MSBitencourt @allantercalivre @gabrickbc @BolsonaroSP @tercalivre Tá bom. Tu Tá com medinho de corona e acha que apita alguma coisa? Kkkkkk;;;
956,@BolsonaroSP,@BolsonaroSP @JoaquinTeixeira #Dr.yong e DR.NILSE deram um show de certezas que no Brasil as mortes de corona a maioria é uma farsa.Pacientes morre de câncer colocam covidğŸ’ª.Cloroquina ta salvando vidas no coquetel em hospitais.Super faturamentos em respiradores roubo total. Materia ta na Recor coronavírus.;;;
"957,@BolsonaroSP,""@VandecoTelles @DaniloGentili @BolsonaroSP Pqp, serãoque essa raça vai junto com o corona? ğŸ¤¦ğŸ½â€â™€ï¸""";;;
968,@BolsonaroSP,@BolsonaroSP @allantercalivre Mas como foram presos? ã‘ soltaram todos para ã± se contaminarem com o corona? Algum advogado tem que interferir ! Ajudem ! Eduardo manda alguém para impetrar alguma coisa. Urgente !;;;
"971,@BolsonaroSP,""@acmneto_ Meu filho a família da Claudia Raia em isolamento todos pegaram Corona. Chega de hipocrisia,  bora trabalhar com os devidos cuidados. Ahh domingo vai ter churras aqui em casa está  todos convidados cond TOP SPğŸ‡§ğŸ‡· @jairbolsonaro @BoletimCoppolla  @luciano_hang e o gato @BolsonaroSP""";;;
"986,@BolsonaroSP,""@BolsonaroSP Bananinha, o filho do capiTá  corona, irmão do carluxo e do flavio Laranjal...cala boca!""";;;
"1003,@BolsonaroSP,""@TenenteSantini @BolsonaroSP Muitos médicos q falei, disseram q presos estariam mais seguros contra o corona dentro do preSó­dio.""";;;
"1022,@BolsonaroSP,""Caiu por """"falsificação nos dados"""" o estudo que foi usado para desqualificar a deciSó do PR de mudar o protocolo de uso da Cloroquina incluindo pacientes com sintomas iniciais de coronavírus por toda a mídia @TeichNelson @BolsonaroSP https://t.co/yonim6S67s""";;;
"1029,@BolsonaroSP,""@MargaretteBras5 @_SaraWinter @BolsonaroSP boa sorte ğŸ¤™";;;
"só não vá pra nenhum  hospital se pegar Corona ğŸ’œ""";;;
"1040,@BolsonaroSP,""@BolsonaroSP E você querendo implantar uma . Ameaçando as Instituições ...O Brasil não tem Moral fora do país . O Enfrentamento do Corona , desemprego ficou em terceiro plano . Agora é ajudar os amigos que postam notã­cias falsas e rancorosas... General Mourão assume isso Logo...""";;;
"1044,@BolsonaroSP,""@Metropoles @BolsonaroSP Tudo isso por causa de meia dúzia de blogueiros investigados pelo STF? O que o STF Tá perto de descobrir que apavora tanto essa família? Note, que não diz uma linha sobre 25 mil mortes pela covid, aliás,uma ditadura faria o corona sumir por decreto.";;;
"https://t.co/T66PKo5Dtf""";;;
"1058,@BolsonaroSP,""@luciano_pompeu @Bot_Corona_V @BolsonaroSP @ArthurWeint Quê  novidade, não  me lembro de combustã­vel  barato...em outros Governos!""";;;
"1062,@BolsonaroSP,""@ElCLintDD @BolsonaroSP O pessoal picou a mula meu filho! Eu sou um deles, e comigo está cheio! Não conte mais com esse número, fora que os gados pegam corona e morrem. já forma abatidos aí­ umas dez mil cabeça de gado""";;;
"1065,@BolsonaroSP,""Denúncia ";;;
#NOME?;;;
Obras da empresa seguem normalmente,impedindo prefeito d agir em prol da cidade;;;
"@Biakicis @policiafederal @BolsonaroSP""";;;
1073,@BolsonaroSP,@BolsonaroSP Caiu máscara neste coronavírus !;;;
"1079,@BolsonaroSP,""@BolsonaroSP Pandemia, Corona Virus,  acho q tem coisa MAIS IMPORTANTE hein! Q governo chorão mano! Bando de bebe""";;;
1080,@BolsonaroSP,@iComuNathy @Josi_Reis13 @MargaretteBras5 @_SaraWinter @BolsonaroSP Mas para eles o vírus é comunista enTá  se pegarem corona  estarão com o comunismo dentro de Só­;;;
"1089,@BolsonaroSP,""@BolsonaroSP @jairbolsonaro Do Ceasa de BH e que a coronavírus é uma gripezinha, """"Mas é daí­?""""""";;;
"1092,@BolsonaroSP,""@Josi_Reis13 @MargaretteBras5 @_SaraWinter @BolsonaroSP Corona blz, MAS COMUNISMO AH NãO COMUNISMO NãO PODE! kkkkkkkkkkkk eu do tanta risada com esse povo""";;;
1095,@BolsonaroSP,@MargaretteBras5 @_SaraWinter @BolsonaroSP Vai pegar corona quenga;;;
"1096,@BolsonaroSP,""@BolsonaroSP @jairbolsonaro Lamentar as mortes pelo corona não se presta né? Milhares de pessoas tem sua propriedade violada, e pior ainda , Só mortas dentro de casa! ";;;
"Mas e dai né? Importa mesmo só se for da """"familia""""";;;
"Bando de hipócritas, fascistas! O jogo acabou pra vocês!""";;;
"1107,@BolsonaroSP,""@BolsonaroSP @jairbolsonaro Estamos sendo motivos de Chacotas para outras Nações . Desemprego , coronavírus , Rombo nas contas públicas . Pedindo dinheiro emprestado 4 Bilhões . E o Presidente Preocupado com Fakenews . Alguém pega neste Timão. Um país sem Direção. Motivos de Risadas para Outras Nações""";;;
"1159,@BolsonaroSP,""@BolsonaroSP @allantercalivre Ah é o babaca da dancinha do corona... ";;;
"Sério que vcs dão credibilidade pra esse idiota?""";;;
1164,@BolsonaroSP,ô @BolsonaroSP recadinho pra tu! Para de falar bosta!! Sue pai tem reprovação de 62% e meia dúzia de gatos pingados apoiando ele! EnTá  nesse seu papo de ruptura o máximo de pode ocorrer Só os tiozinhos que apóiam seu pai acabarem morrendo de corona nas ruas!!;;;
"1168,@BolsonaroSP,""@BolsonaroSP @allantercalivre E quanto ao vÍdeo de Corona é  o Caralho pode?  Queria ver este infeliz sair  e fazer está dancinha na frente de um hospital. Pra mim quem é amigo , ou defende canalha como este é da mesma gangue.""";;;
1198,@BolsonaroSP,@BolsonaroSP Vc Tá falando daquele blogueiro chapa branca do vÍdeo? Aquele que tava zoando com a mortes causadas pelo corona?;;;
1200,@BolsonaroSP,@DP_BAZUKA @BolsonaroSP Corona cé curte ?;;;
"1262,@BolsonaroSP,""@BolsonaroSP achei que o corona ja tinha levado embora, nem lembrava mais dela""";;;
"1266,@BolsonaroSP,""@BolsonaroSP @tercalivre Porque o @allantercalivre não Tá dançando? ";;;
;;;
Acabou o Corona?;;;
;;;
"Kkk""";;;
"1273,@BolsonaroSP,""@BolsonaroSP @tercalivre Corona, já sabe""";;;
"1278,@BolsonaroSP,""@biraiorio @BolsonaroSP Quem agride a população e vc corona alcolumbre é o vírus maia,vcs dois juntos consegue ser as piores pragas do Brasil, até pior q as 7 pragas do Egito""";;;
1282,@BolsonaroSP,@BolsonaroSP @tercalivre Faz a dança do corona Dudu;;;
"1290,@BolsonaroSP,""@PrMocellin @BolsonaroSP nem as igrejas pregam mais, entraram na política, passaram a vender agua batizada pra imunizar do corona virus, só no brasil mesmo!""";;;
"1312,@BolsonaroSP,""@BolsonaroSP A palavra de consolo seria a mesma ";;;
F;;;
O;;;
D;;;
A;;;
/;;;
S;;;
E;;;
Só não iria usar a grande frase;;;
"Corona é o caralho.""";;;
1327,@BolsonaroSP,@JornalBSM @BolsonaroSP @allantercalivre Esse é aquele idiota da dancinha do coronavírus! Digo mais essa palhaçada surgiu como Meme...fale mais STF!;;;
"1371,@BolsonaroSP,""@BolsonaroSP Eduardo me responda se os ministros deixam processos prescrever e  várias diligências, investigações , tempo e dinheiro jogado fora não é vagabundagem ou inresponsabilidade? Enquanto isso o Ministro está preocupado com exame positivo ou negativo do Corona.""";;;
1374,@BolsonaroSP,@BolsonaroSP @CarlaZambelli38 @Biakicis Fazendo o papel do novo ministro da justiça deputado? Falar nisso cadê o @AmendoncaMJSP contraiu o coronavírus ou só Tá com o rabo entre as pernas?;;;
"1441,@BolsonaroSP,""@BolsonaroSP @jairbolsonaro Ele nem quer se envolver com coronavírus, nem toca no assunto E daí­?""";;;
1448,@BolsonaroSP,@Arqmrf @BolsonaroSP OMS é aquela que falou fiquem tranquilos Corona virus não passa pra Humanos???????? to mentindo??????????;;;
1480,@BolsonaroSP,@viejodelahabana @Douglas92725945 @BolsonaroSP @Mapa_Brasil @TerezaCrisMS Não tanto quanto o Lula e os aceclas quando Bolsonaro ganhou. Bom que o Lula está dizendo que você tem que respirar bastante corona porque ainda bem que esse vírus existe.;;;
"1519,@BolsonaroSP,""@prismuniz @ClaudiaRloiaco @BolsonaroSP Tenho um formulário que a pessoa imprime preenche assina e guarda na carteira deixando claro que em caso de infecção do corona, não quer ser medicada com Hidróxidocloroquina. Se quiser te mando no e-mail. https://t.co/VoxlviYgvs""";;;
1521,@BolsonaroSP,@OfelipeBot @turixa @Arqmrf @BolsonaroSP E a cloroquina foi indicada pra grávida na Amazã´nia por causa do zica vírus. Um virus TOTALMENTE diferente do corona rs;;;
1540,@BolsonaroSP,@Arqmrf @BolsonaroSP A mesma OMS que disse em janeiro que o Corona não transmitia entre humanos ?;;;
"1552,@BolsonaroSP,""@RatelPeacemaker @BolsonaroSP Quem causa ataque cardã­aco e o próprio corona, eu tive e só Deus sabe como sobrevivi, sentir muito meu coração, parecia q ia sair pela boca ";;;
", E olha que não tomei Cloroquina!""";;;
"1559,@BolsonaroSP,""@ericlentini @Emanoel_wr_silv @BolsonaroSP @jairbolsonaro Não houve priSó de NENHUM dos surfistas apenas foram advertidos a se retirarem da praia, eu apoio MINHA CIDADE, os profissionais de saúde e as pessoas que estao sofrendo de corona e não surfista que pode possivelmente prejudicar a cidade e as outras pessoas, doente é VOCÊS""";;;
"1574,@BolsonaroSP,""@lacerdaTribuna @rubensbonomini @verdeamarelou @BolsonaroSP Paris é um departamento francês, Marselha apenas uma cidade. Paris tem uma densidade populacional 6x maior que a de Marseille. O Sul inteiro francês foi menos afetado pelo coronavírus""";;;
"1575,@BolsonaroSP,""@BolsonaroSP Monte de gente dizendo que realmente não é placebo, pq placebo não mata... E o coronavírus, não mata? Várias medicações usadas para uma simples dor de cabeça tb tem efeitos colaterais. é cada uma... #FechadoComBolsolnaro""";;;
1589,@BolsonaroSP,@mavluma @BolsonaroSP Não sabia que o só o corona mata ! Rsrsrs piada viu !;;;
"1603,@BolsonaroSP,""@BolsonaroSP Claro que não é placebo! Placebo não tem efeito contra corona, já a hidroxicloroquina aumenta em 30% as chances de óbito.""";;;
"1610,@BolsonaroSP,""@BolsonaroSP @conexaopolitica AO PRESIDENTE JAIR M BOLSONARO:";;;
"FAVOR ATENTAR ã€ FALãCIA DA """"CAMPANHA"""" CONTRA A HCQ.";;;
1) O CORONA MATA SOMENTE OS COM BAIXA IMUNIDADE, PRINCIPALMENTE OS VELHOS, MAS, SE TODOS POSITIVADOS.;;;
"2) A HCQ ELIMINA O VÍRUS NO ESTAGIO INICIAL DA INFECã‡ãO.""";;;
"1635,@BolsonaroSP,""@BolsonaroSP @fabiowoficial Por aqui se diz que o Bolsonaro está incentivando as pessoas pegarem Corona, para encobertar o roubo de ouro que está acontecendo aí­, nao vi nada disso ainda na mídia do Brasil, mas por aqui é o que dizem é diário, enquanto isso, a Secom dormindo em berço esplêndido.""";;;
"1690,@BolsonaroSP,""@BolsonaroSP Um dos poucos tweets sensato do bananinha. Mas concordo principalmente com o Teich em relação ã  necessidade de testagem para se controlar a pandemia, e sabermos onde atuar. Sabe quando o Brasil farãoisso no Governo Bolsonaro? Nunca. Pois o coronavírus não é o foco do Governo.""";;;
