,usuario,texto;;;
3452,@RodrigoMaia,@RodrigoMaia Sujeito sem vergonha esse Maia! Tu trabalhas 24h para os banqueiros e donos do capital. Sujeito servo do Capitão Corona. O povo tem voz na tua gestão mas sim os ricos.;;;
"3487,@RodrigoMaia,""@bolsotroopers @pacefeco @jairbolsonaro @davialcolumbre @RodrigoMaia @RedeGlobo Bolsonariastas, mais do que nunca, representam  um perigo. Militares já se recusaram a tocar no Capitão Corona. Mai, de máscara é é bobo.    #TodosPeloImpeachment """"Bolsonaristas detidas em Copacabana pegaram Covid-19""""  https://t.co/1sPIQw6rsp""";;;
"3497,@RodrigoMaia,""@expresso99 @RodrigoMaia @jairbolsonaro é vai cair, esqueça! Então presidente bom p vc é Lula q da graças a Deus pelo corona? Meu Deus é muita ignorância...""";;;
"3501,@RodrigoMaia,""@camaradeputados @RodrigoMaia @SenadoFederal Eita povo lerdo o corona está  finazindo agira que acordaram , deixam matar mtos pra depois tomarem providenciad @""";;;
"3506,@RodrigoMaia,""@traficodeinfo @RodrigoMaia Vamos lá : Ninguém quer que ele cure o corona, mas que seja prudente no combate do mesmo mas faz o contrário e faz piadas sobre : Genocida.";;;
;;;
Se você criou seu filho com muito esforço e o mesmo se desvio. que ele pague pelo que fez. ;;;
;;;
"E óbvio""";;;
"3554,@RodrigoMaia,""@maciellePereira @antoniomeira16 @Jorge_Acardoso @RodrigoMaia Desde começou ele fala , é podemos fechar estado e municípios. Então o país quebra e gente morreram de fome. O que está acontecendo, Lockdown é resolve nada, gente continua morrendo de fome e do corona. + Vcs preferem os bandidos que estava aí 16 anos.""";;;
3619,@RodrigoMaia,@RodrigoMaia #LOCKDOWN NAS URNAS PARA corruptos o POVO é JÁ ACORDOU que o CORONAVÍRUS é um PALANQUE POLÍTICO.;;;
3729,@RodrigoMaia,@RodrigoMaia E o dinheiro do Fundão pro combate aos Coronavírus esse vcs é mexem né ? Esse e sagrado? E a MP pra que os estudantes deixasse de pagar a carteira de estudante essa TB vcs  deixaram caducar né. A MP do 13° do bolsa família TB né.;;;
3860,@RodrigoMaia,@RodrigoMaia Enorme desigualdade e um aluno do CE Professor Daltro Santos concorrer com o alunono do PH... mas isso só acontece agora com o Coronavírus... entendi...;;;
"3880,@RodrigoMaia,""@RodrigoMaia Vocês reduziram seus salários e os altos benefícios durante a pandemia? Deixaram o fundão eleitoral ser usado pra combater o corona? Vão tomar no cu com esse discurso de merda. Grande parte dos problemas do país são vocês, seus lixos""";;;
