,usuario,texto;;
"1343,@g1,""@g1 O brasileiro só vai tomar tubaina mesmo,pq a hidroxicloroquina não cura o corona.""";;
1345,@g1,@g1 Já vi que nega mesmo o coronavírus;;
"1363,@g1,""@Krl05594789 @vbsfbinho @g1 Quando tu tiver o corona, n toma a cloroquina. Corno""";;
1383,@g1,@g1 Esse é o cara que falou pro seu povo tomar produto de limpeza pra matar o coronavírus do corpo!;;
"1392,@g1,""@g1 Houvesse toda essa empolgação politica e esforcos odiosos convertidos em energia  direcionadas ao combate ao coronavírus estariamos hoje discutindo e reverberando a retomada da economia,Pior que um Presidente incompetente são acessores e ministros incompetentes""";;
1400,@g1,@g1 O mais importante é saber porque não estão usando o remédio Ivermectina no combate ao coronavírus se já tem várias matérias falando da eficácia.;;
1412,@g1,@JFenix13 @g1 pega corona e usa e prove para o mundo que vc se curou;;
"1455,@g1,""@fatooufake @g1 Por favor, acabou Jambu na cidade pq tb estão dizendo que o cha combate corona!!!!! Um maço que era 2,50 agora ta 15,00!!!!!""";;
"1486,@g1,""@CNNBrasil Grande diferença dos Argentinos o Presidente dela Plata muy Ama Su País , já no Brasil tupiniquim o Presidente @jairbolsonaro  ODEiA nós Brasileiros e Sua PÃTRIA , taí­ o Grande coronavírus se alastrou @jairbolsonaro Bandido de Milicianos @UOLNoticias  @g1""";;
"1490,@g1,""@g1 Assistindo o Sikêra hoje eu vi a história da gripezinha.";;
Colocam na conta de presidente, mas quem falou foi o Drauzio em janeiro, porque o carnaval jamais poderia se cancelado.;;
Agora está aí­ o resultado.;;
"Os fantasiados de corona, porque não mostram as fantasias agora. https://t.co/TNR4bRve7G""";;
"1493,@g1,""@gtosilva1978 @g1 Fora que, países que tiveram resultados bons em relação ao  corona, por exemplo, China, Taiwan, Coreia do Sul, entre outras tiveram uma eficácia boa no controle da covid19 com quarentenas restritivas e grande número de testes. ";;
"Fora que, o Japão é do tamanho de São Paulo né mano""";;
1496,@g1,@g1 Será se Domenico morreu do coronavírus? Só Deus sabe!;;
1511,@g1,@g1 Vai passar corona pra geral;;
"1572,@g1,""@viniciuss_____ @g1 PORRA PAI MAS ISSO FOI EM 2019 ATE OS INDIOS QUE NÃO USAM DISPOSITIVOS MOVEIS WI-FI SABEM EXATAMENTE QUE ISSO É SO PRA GANHAR POPULARIDADE ";;
PARECE QUE NÃO TEM NOTICIA REPETIDA DO CORONA PRA FAZER!;;
"N ME CHAMA DE BOLSOMINION PLS2""";;
1581,@g1,@g1 Filho dele recebeu dinheiro do corona !!! Que vergonha para esse moralista;;
"1598,@g1,""@g1 E fazem muito bem.";;
Essa droga aqui contagia qualquer pessoa normal.;;
"E não e, só com o corona....""";;
1611,@g1,@g1 Quem pegou corona e ficou grave e usou chá da vovó?  Deixem de hipocrisia. Fiquei grave usei cloroquina  e dispenso colocações idiotas.;;
1623,@g1,@BiancoEgidio @g1 Agora que fazer uma Narrativa que Carla Zambelli meu Deus todo mundo sabia que isso estava acontecendo os governadores tava aproveitando essa Narrativa do coronavírus pra roubar;;
"1625,@g1,""@g1 Engraçado q quem trouxe essa doença para cá ,foi quem viajou para lá e para a Europa! O EUA tá tão bichado de coronavírus como aqui no Brasil, é aquele ditado olha o rabo dos outros mas não vê seu próprio rabo!""";;
1630,@g1,@g1 tomara que pegue corona e m0rr4;;
