,usuario,texto;;
2678,@SF_Moro,@SF_Moro A foi por isso que  você quis parar de trabalhar de medo do corona mais não precisa se vender né;;
2679,@SF_Moro,@Zenir80884159 @joelpersonalrn @SF_Moro Depende. O gado que come capim ou sanduíche de mortadela tem outro líder. O que acha o Corona e a 51 o máximo;;
"2680,@SF_Moro,""@alexlobofilho @Lule2014 @Fernanda_CidL @SF_Moro Uma dúvida, você está satisfeito com a gestão do Bolsonaro diante do coronavírus??""";;
2690,@SF_Moro,@SF_Moro CHUPA CORONA https://t.co/JvbSlXWrN8;;
2692,@SF_Moro,@SF_Moro Tu se afundou feio homem! Fica quietinho que pelo menos vc recebe o corona voucher! ğŸ˜ğŸ˜‚ğŸ˜‚ https://t.co/N5Jk564KNo;;
2698,@SF_Moro,@SF_Moro Ninguém disse que corona é uma piada.;;
"2699,@SF_Moro,""@SF_Moro O povo é só um pano de fun do...coronavírus que nada.";;
Vamos passar a boiada.;;
"Não sou alienado!""";;
2713,@SF_Moro,@SF_Moro Corona conveniente. A diferença entre remédio e veneno é a dose.;;
"2736,@SF_Moro,""@SF_Moro Moro, entendo agora porque saiu rapidamente deste ambiente de ministros, parecem bestas feras querendo exterminar seus adversários,  porque não combatem  o  Corona com essa garra?""";;
"2746,@SF_Moro,""@Zenir80884159 @joelpersonalrn @SF_Moro O que convence jumento é: â€œque bom que a natureza criou esse coronavírus...â€";;
"#BolsonaroReeleito""";;
2750,@SF_Moro,@SF_Moro Jamaisssss pensei que ia dizer isto parece mais surreal que o coronavírus. Mas seus twiters  hoje me causam mais RANÃ‡O  que o bandido mor @lulaoficial ğŸ˜¡ğŸ˜¡ğŸ˜¡;;
"2755,@SF_Moro,""@Nicolas_silva7 @christopherfgon @SF_Moro @MPF_PGR Marrapaz!!! ğŸ¤£ğŸ¤£ğŸ¤£ olha a cara disso! ğŸ¤¦ğŸ¼â€â™€ï¸ğŸ¤¦ğŸ¼â€â™€ï¸ Meu filho, já terminou o fundamental? Já trabalhou alguma vez na vida ou seu primeiro salário foi o auxílio corona? ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚";;
"Sai fora curupira!""";;
"2760,@SF_Moro,""@SF_Moro Depois desse, vai tentar o que? Quem sabe depoimento da professora do primário do Presidente? Nos poupe, o Brasil já está vivendo uma crise por causa do corona. Se recolha a sua atual insignificância.""";;
"2761,@SF_Moro,""@SF_Moro E para a crise que você causou no meio desse caos causado pelo coronavírus. Se não tinha competência para ser Ministro da Justiça, saí­sse de forma honrosa e não vergonhosa como fez.""";;
2793,@SF_Moro,@SF_Moro Quando sua mulher tonta pegar corona dê guaraná! Deixe a gente em paz coisa ruim! Xô!!!!!!!;;
"2795,@SF_Moro,""@SF_Moro coronavírus não é piada!";;
;;
"Mas você é kkkkkkğŸ˜ğŸ˜ğŸ˜ğŸ˜""";;
"2826,@SF_Moro,""@SF_Moro Não  lembro de nenhum post seu sobre algemarem trabalhadores e mulheres..";;
Agora está falando até do corona...tem formação em Saúde ou só virou tuitero mesmo?;;
"#BolsonaroHeroi""";;
"2831,@SF_Moro,""@JosselineRouss1 @VictorHq @henriolliveira @SF_Moro O corona ainda pode lhe levar a reflexão, mas só quando sentir na pele, enquanto isso, será só deboche. Mais de 20.000 mortos, como diria Jair e vcs, e daí­? Até a água bater na bunda.""";;
"2834,@SF_Moro,""@JosselineRouss1 @henriolliveira @SF_Moro Boa sorte, tomara que vc não pegue corona para entender que o descaso com a saúde pode levar vc e os seus a óbito.""";;
2844,@SF_Moro,@CarlaZambelli38 @SF_Moro @jairbolsonaro Eu queria mais um vídeo desses para acabar com o coronavírus. ğŸ¤£ğŸ¤£ğŸ¤£ğŸ˜‚;;
2847,@SF_Moro,@Marcelo73449907 @henriolliveira @SF_Moro Se não morrer de corona pra ter filho tá ótimo;;
